session_id,user_id,movie_id,device_type,start_time,end_time,completion_rate,created_at
23,419,383,tablet,2024-12-01 10:40:16,2024-12-01 11:59:16,54.48,2024-12-01 10:40:16
24,17,315,desktop,2025-06-11 20:29:37,2025-06-11 22:04:37,93.14,2025-06-11 20:29:37
25,695,117,smart_tv,2024-06-17 20:18:36,2024-06-17 21:25:36,37.22,2024-06-17 20:18:36
26,410,498,smart_tv,2025-08-01 03:53:49,2025-08-01 04:44:49,82.26,2025-08-01 03:53:49
27,928,554,mobile,2024-01-30 00:57:29,2024-01-30 03:09:29,80.0,2024-01-30 00:57:29
28,125,128,mobile,2024-11-12 07:40:03,2024-11-12 08:47:03,73.63,2024-11-12 07:40:03
29,508,354,smart_tv,2025-07-02 23:19:37,2025-07-03 00:21:37,62.63,2025-07-02 23:19:37
30,397,549,smart_tv,2024-11-05 00:43:41,2024-11-05 00:59:41,26.23,2024-11-05 00:43:41
31,206,310,tablet,2025-06-23 08:18:06,2025-06-23 09:06:06,36.09,2025-06-23 08:18:06
32,57,141,mobile,2025-03-29 06:01:10,2025-03-29 07:44:10,67.32,2025-03-29 06:01:10
33,654,177,smart_tv,2025-02-17 20:31:54,2025-02-17 20:46:54,10.56,2025-02-17 20:31:54
34,805,10,desktop,2024-12-09 07:41:33,2024-12-09 08:25:33,44.0,2024-12-09 07:41:33
35,956,28,tablet,2025-09-07 01:55:18,2025-09-07 03:19:18,56.76,2025-09-07 01:55:18
36,309,241,tablet,2025-06-25 19:18:20,2025-06-25 20:06:20,29.45,2025-06-25 19:18:20
37,273,259,mobile,2024-04-27 15:39:13,2024-04-27 17:36:13,85.4,2024-04-27 15:39:13
38,29,459,tablet,2025-09-07 12:18:27,2025-09-07 14:26:27,80.5,2025-09-07 12:18:27
39,729,267,mobile,2024-09-18 02:18:28,2024-09-18 02:43:28,31.65,2024-09-18 02:18:28
40,450,215,smart_tv,2024-08-25 00:27:45,2024-08-25 01:21:45,58.06,2024-08-25 00:27:45
41,65,367,desktop,2025-07-08 05:30:01,2025-07-08 06:27:01,41.61,2025-07-08 05:30:01
42,181,455,tablet,2024-12-02 19:56:36,2024-12-02 20:14:36,12.41,2024-12-02 19:56:36
43,587,365,desktop,2024-02-04 21:22:39,2024-02-04 21:47:39,20.16,2024-02-04 21:22:39
44,780,160,smart_tv,2025-07-12 15:39:34,2025-07-12 15:50:34,10.78,2025-07-12 15:39:34
45,515,361,smart_tv,2025-03-30 00:16:43,2025-03-30 00:32:43,25.0,2025-03-30 00:16:43
46,264,589,mobile,2024-06-01 11:34:49,2024-06-01 14:24:49,95.51,2024-06-01 11:34:49
47,547,290,mobile,2025-02-07 06:45:16,2025-02-07 07:11:16,23.01,2025-02-07 06:45:16
48,987,222,tablet,2024-05-18 03:46:50,2024-05-18 04:24:50,48.1,2024-05-18 03:46:50
49,912,238,tablet,2024-05-02 22:04:46,2024-05-02 22:58:46,46.96,2024-05-02 22:04:46
50,151,67,smart_tv,2025-07-21 17:48:57,2025-07-21 18:49:57,70.93,2025-07-21 17:48:57
51,982,151,tablet,2025-03-18 00:37:11,2025-03-18 00:54:11,9.71,2025-03-18 00:37:11
52,720,266,mobile,2025-02-03 00:19:10,2025-02-03 00:30:10,13.25,2025-02-03 00:19:10
53,389,403,smart_tv,2025-06-29 20:22:59,2025-06-29 21:40:59,50.98,2025-06-29 20:22:59
54,646,188,smart_tv,2025-08-28 16:38:17,2025-08-28 18:34:17,67.05,2025-08-28 16:38:17
55,925,507,mobile,2024-07-03 23:47:41,2024-07-04 00:19:41,20.92,2024-07-03 23:47:41
56,759,249,desktop,2025-02-19 09:51:20,2025-02-19 10:51:20,89.55,2025-02-19 09:51:20
57,397,20,smart_tv,2024-03-08 04:40:10,2024-03-08 06:52:10,84.62,2024-03-08 04:40:10
58,511,529,mobile,2025-06-16 06:03:28,2025-06-16 06:33:28,38.46,2025-06-16 06:03:28
59,90,183,mobile,2025-05-27 14:50:39,2025-05-27 15:21:39,25.41,2025-05-27 14:50:39
60,319,101,smart_tv,2025-04-28 17:56:00,2025-04-28 19:01:00,78.31,2025-04-28 17:56:00
61,517,479,mobile,2025-04-14 23:16:43,2025-04-15 00:32:43,76.0,2025-04-14 23:16:43
62,16,198,desktop,2025-02-04 12:36:54,2025-02-04 13:06:54,35.29,2025-02-04 12:36:54
63,642,258,desktop,2024-07-21 09:20:54,2024-07-21 09:34:54,15.05,2024-07-21 09:20:54
64,813,22,mobile,2024-03-20 06:00:14,2024-03-20 07:48:14,74.48,2024-03-20 06:00:14
65,521,591,smart_tv,2024-09-06 11:32:06,2024-09-06 11:48:06,10.13,2024-09-06 11:32:06
66,57,284,desktop,2024-05-09 05:10:08,2024-05-09 06:21:08,58.2,2024-05-09 05:10:08
67,632,211,mobile,2025-03-18 09:23:04,2025-03-18 11:00:04,54.49,2025-03-18 09:23:04
68,498,115,smart_tv,2024-07-06 13:21:53,2024-07-06 15:13:53,69.14,2024-07-06 13:21:53
69,570,306,desktop,2024-01-06 03:50:35,2024-01-06 04:15:35,20.66,2024-01-06 03:50:35
70,85,299,desktop,2025-07-21 07:31:59,2025-07-21 09:36:59,80.65,2025-07-21 07:31:59
71,825,311,tablet,2024-07-18 15:38:04,2024-07-18 15:55:04,14.53,2024-07-18 15:38:04
72,1,158,mobile,2025-09-10 14:59:30,2025-09-10 17:00:30,87.68,2025-09-10 14:59:30
73,44,178,desktop,2025-01-10 15:36:35,2025-01-10 16:29:35,86.89,2025-01-10 15:36:35
74,727,466,desktop,2025-02-25 11:19:11,2025-02-25 11:32:11,17.57,2025-02-25 11:19:11
75,932,339,mobile,2025-07-17 16:02:20,2025-07-17 17:04:20,42.47,2025-07-17 16:02:20
76,32,243,smart_tv,2024-07-28 06:39:39,2024-07-28 07:43:39,71.11,2024-07-28 06:39:39
77,346,76,tablet,2025-08-01 14:21:41,2025-08-01 15:28:41,62.62,2025-08-01 14:21:41
78,13,197,smart_tv,2025-03-08 23:32:57,2025-03-09 01:05:57,94.9,2025-03-08 23:32:57
79,549,246,mobile,2025-01-17 00:55:58,2025-01-17 01:49:58,30.68,2025-01-17 00:55:58
80,833,548,tablet,2024-03-16 04:36:46,2024-03-16 06:13:46,60.25,2024-03-16 04:36:46
81,820,245,mobile,2024-03-07 05:16:42,2024-03-07 07:51:42,88.57,2024-03-07 05:16:42
82,728,460,desktop,2025-01-19 20:57:35,2025-01-19 22:51:35,91.2,2025-01-19 20:57:35
83,753,101,smart_tv,2025-03-24 14:21:33,2025-03-24 14:55:33,40.96,2025-03-24 14:21:33
84,792,185,mobile,2025-07-19 13:32:28,2025-07-19 13:57:28,25.25,2025-07-19 13:32:28
85,192,307,tablet,2025-09-05 04:04:33,2025-09-05 06:08:33,88.57,2025-09-05 04:04:33
86,993,13,desktop,2025-07-15 11:10:36,2025-07-15 13:39:36,88.69,2025-07-15 11:10:36
87,704,382,tablet,2024-05-20 15:14:01,2024-05-20 16:49:01,69.34,2024-05-20 15:14:01
88,343,520,desktop,2024-06-24 09:13:54,2024-06-24 11:09:54,88.55,2024-06-24 09:13:54
89,719,286,smart_tv,2024-06-23 12:03:55,2024-06-23 12:49:55,70.77,2024-06-23 12:03:55
90,506,13,mobile,2024-03-09 04:08:59,2024-03-09 05:52:59,61.9,2024-03-09 04:08:59
91,753,386,smart_tv,2024-01-03 08:49:33,2024-01-03 09:41:33,34.21,2024-01-03 08:49:33
92,254,216,smart_tv,2024-07-18 13:32:06,2024-07-18 14:22:06,75.76,2024-07-18 13:32:06
93,743,384,desktop,2024-12-04 04:13:55,2024-12-04 05:54:55,99.02,2024-12-04 04:13:55
94,623,429,tablet,2025-08-29 16:20:04,2025-08-29 17:22:04,42.76,2025-08-29 16:20:04
95,236,239,smart_tv,2025-03-06 06:34:44,2025-03-06 07:33:44,98.33,2025-03-06 06:34:44
96,380,8,tablet,2024-06-13 21:16:05,2024-06-13 21:33:05,10.18,2024-06-13 21:16:05
97,99,547,mobile,2024-06-27 07:27:53,2024-06-27 07:43:53,18.6,2024-06-27 07:27:53
98,941,261,smart_tv,2025-08-25 21:13:54,2025-08-25 21:28:54,23.44,2025-08-25 21:13:54
99,80,306,desktop,2025-05-05 07:56:50,2025-05-05 08:07:50,9.09,2025-05-05 07:56:50
100,10,329,mobile,2025-02-10 11:04:06,2025-02-10 12:05:06,35.88,2025-02-10 11:04:06
101,110,14,mobile,2024-11-17 03:41:18,2024-11-17 03:55:18,13.08,2024-11-17 03:41:18
102,595,273,tablet,2025-02-28 09:56:03,2025-02-28 11:40:03,82.54,2025-02-28 09:56:03
103,736,5,tablet,2025-08-20 21:23:52,2025-08-20 21:53:52,44.12,2025-08-20 21:23:52
104,554,266,desktop,2025-01-30 22:40:04,2025-01-30 23:23:04,51.81,2025-01-30 22:40:04
105,382,594,tablet,2024-03-05 22:32:59,2024-03-05 23:53:59,55.1,2024-03-05 22:32:59
106,116,489,desktop,2024-12-21 13:53:21,2024-12-21 14:09:21,11.85,2024-12-21 13:53:21
107,305,504,smart_tv,2024-11-05 11:19:42,2024-11-05 12:28:42,60.0,2024-11-05 11:19:42
108,251,52,smart_tv,2024-03-17 20:35:30,2024-03-17 23:14:30,99.38,2024-03-17 20:35:30
109,715,28,smart_tv,2024-06-11 04:40:39,2024-06-11 06:44:39,83.78,2024-06-11 04:40:39
110,613,290,mobile,2024-06-06 04:09:26,2024-06-06 06:00:26,98.23,2024-06-06 04:09:26
111,932,129,desktop,2024-10-13 17:38:00,2024-10-13 19:41:00,99.19,2024-10-13 17:38:00
112,185,587,mobile,2024-11-11 21:54:53,2024-11-11 22:19:53,24.27,2024-11-11 21:54:53
113,836,334,mobile,2025-06-28 14:06:18,2025-06-28 15:19:18,49.66,2025-06-28 14:06:18
114,27,282,smart_tv,2025-02-26 22:39:36,2025-02-26 23:08:36,22.14,2025-02-26 22:39:36
115,517,593,smart_tv,2025-07-28 02:17:41,2025-07-28 02:41:41,28.57,2025-07-28 02:17:41
116,964,100,mobile,2025-02-03 09:29:54,2025-02-03 10:21:54,36.62,2025-02-03 09:29:54
117,351,503,tablet,2025-06-05 21:08:07,2025-06-05 22:06:07,45.67,2025-06-05 21:08:07
118,879,124,tablet,2025-03-24 08:51:57,2025-03-24 09:53:57,57.94,2025-03-24 08:51:57
119,499,571,tablet,2024-06-06 17:30:20,2024-06-06 18:08:20,44.71,2024-06-06 17:30:20
120,921,112,smart_tv,2024-03-08 18:16:22,2024-03-08 19:31:22,88.24,2024-03-08 18:16:22
121,760,38,tablet,2024-02-18 03:30:47,2024-02-18 04:51:47,76.42,2024-02-18 03:30:47
122,738,586,smart_tv,2025-02-14 10:59:46,2025-02-14 11:24:46,15.72,2025-02-14 10:59:46
123,896,294,mobile,2024-08-30 08:13:20,2024-08-30 09:49:20,82.05,2024-08-30 08:13:20
124,821,195,tablet,2024-10-07 02:34:38,2024-10-07 03:20:38,57.5,2024-10-07 02:34:38
125,370,205,mobile,2025-01-09 02:24:43,2025-01-09 03:48:43,79.25,2025-01-09 02:24:43
126,35,308,mobile,2025-05-13 10:28:56,2025-05-13 11:18:56,60.24,2025-05-13 10:28:56
127,500,502,desktop,2024-05-08 20:46:00,2024-05-08 22:36:00,74.32,2024-05-08 20:46:00
128,356,484,desktop,2025-08-05 02:03:29,2025-08-05 02:36:29,52.38,2025-08-05 02:03:29
129,663,498,smart_tv,2024-03-12 23:54:23,2024-03-13 00:29:23,56.45,2024-03-12 23:54:23
130,790,284,tablet,2024-08-14 10:11:14,2024-08-14 11:09:14,47.54,2024-08-14 10:11:14
131,977,79,desktop,2024-10-13 22:51:54,2024-10-13 23:02:54,11.58,2024-10-13 22:51:54
132,343,304,mobile,2025-06-16 00:49:21,2025-06-16 01:19:21,24.0,2025-06-16 00:49:21
133,629,553,mobile,2024-02-26 20:10:59,2024-02-26 21:10:59,40.0,2024-02-26 20:10:59
134,888,334,smart_tv,2025-05-16 11:24:05,2025-05-16 13:38:05,91.16,2025-05-16 11:24:05
135,170,148,smart_tv,2025-05-03 11:13:53,2025-05-03 11:44:53,47.69,2025-05-03 11:13:53
136,766,296,tablet,2024-07-24 06:32:23,2024-07-24 07:25:23,48.18,2024-07-24 06:32:23
137,673,20,mobile,2024-10-20 07:34:59,2024-10-20 08:18:59,28.21,2024-10-20 07:34:59
138,505,542,smart_tv,2025-02-13 21:59:57,2025-02-13 23:23:57,74.34,2025-02-13 21:59:57
139,963,76,desktop,2025-06-21 18:02:29,2025-06-21 19:44:29,95.33,2025-06-21 18:02:29
140,183,185,desktop,2025-01-11 18:14:05,2025-01-11 19:50:05,96.97,2025-01-11 18:14:05
141,782,526,tablet,2025-06-05 02:15:23,2025-06-05 02:33:23,30.0,2025-06-05 02:15:23
142,902,574,tablet,2024-09-26 23:40:41,2024-09-27 00:53:41,54.48,2024-09-26 23:40:41
143,271,592,desktop,2024-06-04 17:26:18,2024-06-04 18:15:18,49.0,2024-06-04 17:26:18
144,435,143,tablet,2024-12-06 14:54:25,2024-12-06 15:33:25,21.79,2024-12-06 14:54:25
145,145,120,tablet,2024-01-23 03:47:47,2024-01-23 04:19:47,32.99,2024-01-23 03:47:47
146,773,62,smart_tv,2025-05-19 22:15:17,2025-05-19 23:02:17,70.15,2025-05-19 22:15:17
147,349,439,tablet,2024-02-08 22:22:40,2024-02-08 23:45:40,77.57,2024-02-08 22:22:40
148,355,342,tablet,2025-03-30 16:40:18,2025-03-30 18:10:18,78.26,2025-03-30 16:40:18
149,737,484,mobile,2025-08-13 03:20:35,2025-08-13 03:42:35,34.92,2025-08-13 03:20:35
150,94,23,desktop,2024-09-24 01:03:30,2024-09-24 02:02:30,89.39,2024-09-24 01:03:30
151,102,591,tablet,2024-11-06 12:36:00,2024-11-06 14:08:00,58.23,2024-11-06 12:36:00
152,467,564,mobile,2025-01-01 04:32:05,2025-01-01 06:47:05,96.43,2025-01-01 04:32:05
153,583,406,tablet,2025-02-10 01:27:41,2025-02-10 03:04:41,92.38,2025-02-10 01:27:41
154,571,524,tablet,2024-04-10 00:50:42,2024-04-10 01:45:42,31.61,2024-04-10 00:50:42
155,249,121,mobile,2024-06-24 01:21:00,2024-06-24 01:35:00,23.33,2024-06-24 01:21:00
156,833,414,desktop,2025-01-27 19:14:26,2025-01-27 20:36:26,83.67,2025-01-27 19:14:26
157,917,480,tablet,2024-01-14 03:19:49,2024-01-14 04:45:49,65.65,2024-01-14 03:19:49
158,265,139,smart_tv,2025-01-22 00:48:09,2025-01-22 01:43:09,41.04,2025-01-22 00:48:09
159,326,596,mobile,2025-02-10 08:03:49,2025-02-10 08:41:49,33.93,2025-02-10 08:03:49
160,822,566,mobile,2024-04-17 06:49:31,2024-04-17 09:09:31,85.89,2024-04-17 06:49:31
161,313,434,desktop,2024-10-19 20:26:15,2024-10-19 21:00:15,44.16,2024-10-19 20:26:15
162,183,337,desktop,2025-07-27 06:44:10,2025-07-27 08:03:10,82.29,2025-07-27 06:44:10
163,323,518,desktop,2024-08-04 10:07:19,2024-08-04 11:17:19,48.28,2024-08-04 10:07:19
164,551,352,mobile,2025-09-12 05:12:11,2025-09-12 07:27:11,75.84,2025-09-12 05:12:11
165,511,45,mobile,2025-08-12 08:14:11,2025-08-12 09:54:11,83.33,2025-08-12 08:14:11
166,90,481,mobile,2024-10-16 19:50:20,2024-10-16 20:33:20,50.59,2024-10-16 19:50:20
167,781,110,mobile,2025-04-15 00:12:53,2025-04-15 01:26:53,66.67,2025-04-15 00:12:53
168,870,48,tablet,2025-01-20 22:15:58,2025-01-21 00:05:58,88.71,2025-01-20 22:15:58
169,553,444,mobile,2025-04-22 00:55:47,2025-04-22 01:58:47,72.41,2025-04-22 00:55:47
170,826,480,desktop,2024-11-24 03:41:58,2024-11-24 04:36:58,41.98,2024-11-24 03:41:58
171,455,560,desktop,2025-06-29 11:56:25,2025-06-29 13:39:25,95.37,2025-06-29 11:56:25
172,427,267,desktop,2025-04-08 04:36:40,2025-04-08 05:40:40,81.01,2025-04-08 04:36:40
173,727,369,smart_tv,2025-04-23 12:43:42,2025-04-23 14:28:42,99.06,2025-04-23 12:43:42
174,744,289,tablet,2024-11-21 08:14:45,2024-11-21 09:41:45,84.47,2024-11-21 08:14:45
175,957,90,smart_tv,2025-09-11 20:27:30,2025-09-11 20:52:30,24.51,2025-09-11 20:27:30
176,105,185,tablet,2024-11-09 08:45:42,2024-11-09 09:15:42,30.3,2024-11-09 08:45:42
177,770,294,mobile,2024-03-03 01:22:07,2024-03-03 02:08:07,39.32,2024-03-03 01:22:07
178,581,430,tablet,2024-11-21 19:33:50,2024-11-21 21:10:50,60.62,2024-11-21 19:33:50
179,653,434,desktop,2025-02-16 22:17:59,2025-02-16 22:33:59,20.78,2025-02-16 22:17:59
180,826,176,tablet,2025-03-12 12:23:27,2025-03-12 13:02:27,46.43,2025-03-12 12:23:27
181,687,88,smart_tv,2024-06-12 06:16:51,2024-06-12 08:30:51,89.93,2024-06-12 06:16:51
182,484,97,tablet,2024-04-17 12:09:36,2024-04-17 12:55:36,65.71,2024-04-17 12:09:36
183,399,426,desktop,2024-04-03 23:36:19,2024-04-04 00:53:19,50.33,2024-04-03 23:36:19
184,980,164,smart_tv,2024-04-06 13:03:27,2024-04-06 13:41:27,41.3,2024-04-06 13:03:27
185,585,598,smart_tv,2024-12-23 02:12:42,2024-12-23 02:51:42,60.0,2024-12-23 02:12:42
186,138,597,smart_tv,2025-01-11 15:42:54,2025-01-11 17:05:54,52.53,2025-01-11 15:42:54
187,30,565,smart_tv,2025-03-26 12:36:59,2025-03-26 14:37:59,86.43,2025-03-26 12:36:59
188,118,522,tablet,2025-06-02 12:41:19,2025-06-02 13:48:19,90.54,2025-06-02 12:41:19
189,562,242,mobile,2025-08-04 01:43:03,2025-08-04 03:13:03,55.9,2025-08-04 01:43:03
190,583,175,mobile,2025-01-13 07:34:27,2025-01-13 09:22:27,80.0,2025-01-13 07:34:27
191,631,442,smart_tv,2025-05-03 15:45:58,2025-05-03 16:02:58,18.48,2025-05-03 15:45:58
192,274,261,mobile,2025-01-30 19:48:07,2025-01-30 20:28:07,62.5,2025-01-30 19:48:07
193,617,491,mobile,2024-12-05 12:18:36,2024-12-05 13:08:36,47.62,2024-12-05 12:18:36
194,4,96,mobile,2024-05-08 03:23:07,2024-05-08 03:55:07,47.76,2024-05-08 03:23:07
195,363,561,desktop,2025-07-16 06:52:29,2025-07-16 07:16:29,25.81,2025-07-16 06:52:29
196,80,589,desktop,2025-05-07 19:07:11,2025-05-07 21:43:11,87.64,2025-05-07 19:07:11
197,951,428,desktop,2025-05-15 07:06:35,2025-05-15 08:17:35,46.41,2025-05-15 07:06:35
198,555,322,tablet,2024-07-26 11:29:56,2024-07-26 12:52:56,56.85,2024-07-26 11:29:56
199,695,125,smart_tv,2024-10-10 22:28:29,2024-10-10 23:55:29,79.09,2024-10-10 22:28:29
200,516,591,tablet,2024-11-03 17:43:44,2024-11-03 18:04:44,13.29,2024-11-03 17:43:44
201,209,10,tablet,2025-09-18 06:35:52,2025-09-18 07:15:52,40.0,2025-09-18 06:35:52
202,379,149,mobile,2024-01-07 13:15:15,2024-01-07 13:26:15,18.03,2024-01-07 13:15:15
203,36,582,smart_tv,2024-12-21 01:11:40,2024-12-21 01:45:40,39.53,2024-12-21 01:11:40
204,880,17,desktop,2025-02-12 10:13:47,2025-02-12 11:31:47,54.55,2025-02-12 10:13:47
205,710,431,desktop,2025-01-01 04:33:18,2025-01-01 05:25:18,38.52,2025-01-01 04:33:18
206,529,162,smart_tv,2025-08-23 15:09:48,2025-08-23 15:49:48,39.6,2025-08-23 15:09:48
207,83,356,tablet,2024-06-15 21:41:17,2024-06-15 22:08:17,19.15,2024-06-15 21:41:17
208,202,132,smart_tv,2024-03-30 12:03:55,2024-03-30 12:42:55,50.0,2024-03-30 12:03:55
209,291,221,mobile,2025-01-03 02:10:57,2025-01-03 03:30:57,98.77,2025-01-03 02:10:57
210,365,157,tablet,2024-08-08 06:07:12,2024-08-08 07:17:12,98.59,2024-08-08 06:07:12
211,205,474,desktop,2024-09-29 14:47:24,2024-09-29 15:07:24,18.69,2024-09-29 14:47:24
212,258,328,smart_tv,2025-06-14 17:33:36,2025-06-14 19:12:36,77.34,2025-06-14 17:33:36
213,910,381,desktop,2024-02-28 14:35:03,2024-02-28 14:52:03,15.6,2024-02-28 14:35:03
214,150,380,mobile,2024-12-16 06:34:11,2024-12-16 07:35:11,43.88,2024-12-16 06:34:11
215,931,348,desktop,2024-09-04 23:09:15,2024-09-05 01:05:15,85.93,2024-09-04 23:09:15
216,565,585,mobile,2024-01-24 02:31:33,2024-01-24 03:56:33,79.44,2024-01-24 02:31:33
217,685,583,mobile,2025-08-08 08:56:49,2025-08-08 09:20:49,38.71,2025-08-08 08:56:49
218,65,213,desktop,2024-04-19 08:54:30,2024-04-19 09:29:30,53.85,2024-04-19 08:54:30
219,507,349,desktop,2025-03-08 15:24:59,2025-03-08 15:45:59,16.03,2025-03-08 15:24:59
220,469,437,mobile,2025-01-23 04:43:38,2025-01-23 05:27:38,55.0,2025-01-23 04:43:38
221,567,144,desktop,2024-11-23 05:05:46,2024-11-23 07:31:46,90.68,2024-11-23 05:05:46
222,453,107,mobile,2024-12-10 03:17:44,2024-12-10 05:03:44,96.36,2024-12-10 03:17:44
223,355,552,tablet,2024-05-05 14:23:25,2024-05-05 15:00:25,56.92,2024-05-05 14:23:25
224,634,62,desktop,2024-02-27 07:41:55,2024-02-27 08:10:55,43.28,2024-02-27 07:41:55
225,400,426,tablet,2025-08-13 09:25:51,2025-08-13 11:38:51,86.93,2025-08-13 09:25:51
226,636,320,mobile,2024-05-21 23:11:05,2024-05-22 01:50:05,95.78,2024-05-21 23:11:05
227,749,96,tablet,2024-06-10 10:57:25,2024-06-10 11:13:25,23.88,2024-06-10 10:57:25
228,210,553,desktop,2025-06-06 10:08:43,2025-06-06 12:16:43,85.33,2025-06-06 10:08:43
229,545,533,smart_tv,2024-01-08 07:23:52,2024-01-08 08:31:52,87.18,2024-01-08 07:23:52
230,794,574,tablet,2024-09-03 23:42:49,2024-09-03 23:58:49,11.94,2024-09-03 23:42:49
231,387,275,tablet,2025-01-28 23:30:09,2025-01-29 00:25:09,62.5,2025-01-28 23:30:09
232,169,112,smart_tv,2025-06-21 00:34:10,2025-06-21 01:33:10,69.41,2025-06-21 00:34:10
233,836,463,mobile,2025-04-25 02:01:21,2025-04-25 02:26:21,28.74,2025-04-25 02:01:21
234,303,473,desktop,2024-11-04 00:41:29,2024-11-04 01:56:29,53.96,2024-11-04 00:41:29
235,44,318,desktop,2024-09-25 07:52:16,2024-09-25 08:55:16,66.32,2024-09-25 07:52:16
236,433,475,tablet,2025-03-24 02:47:34,2025-03-24 03:33:34,75.41,2025-03-24 02:47:34
237,690,459,mobile,2024-08-13 14:32:02,2024-08-13 16:02:02,56.6,2024-08-13 14:32:02
238,878,105,smart_tv,2024-04-14 20:04:19,2024-04-14 21:10:19,81.48,2024-04-14 20:04:19
239,140,149,smart_tv,2024-06-04 22:02:17,2024-06-04 22:37:17,57.38,2024-06-04 22:02:17
240,629,67,desktop,2024-09-12 15:40:53,2024-09-12 17:04:53,97.67,2024-09-12 15:40:53
241,169,251,desktop,2025-04-29 12:22:20,2025-04-29 14:37:20,79.88,2025-04-29 12:22:20
242,660,372,tablet,2025-06-17 23:41:08,2025-06-17 23:56:08,23.44,2025-06-17 23:41:08
243,899,369,tablet,2024-10-04 01:24:53,2024-10-04 02:52:53,83.02,2024-10-04 01:24:53
244,36,210,desktop,2025-04-14 23:36:58,2025-04-14 23:46:58,8.55,2025-04-14 23:36:58
245,425,56,mobile,2024-10-29 20:14:07,2024-10-29 21:04:07,48.08,2024-10-29 20:14:07
246,825,124,desktop,2025-09-03 17:50:20,2025-09-03 18:52:20,57.94,2025-09-03 17:50:20
247,809,293,desktop,2024-03-22 08:05:49,2024-03-22 08:16:49,16.18,2024-03-22 08:05:49
248,760,184,mobile,2024-07-14 03:20:44,2024-07-14 05:24:44,83.22,2024-07-14 03:20:44
249,495,105,smart_tv,2024-06-02 00:56:47,2024-06-02 01:40:47,54.32,2024-06-02 00:56:47
250,636,2,smart_tv,2024-06-01 00:59:04,2024-06-01 01:48:04,79.03,2024-06-01 00:59:04
251,536,150,tablet,2024-08-29 07:58:05,2024-08-29 10:32:05,100.0,2024-08-29 07:58:05
252,352,319,mobile,2025-07-31 21:10:50,2025-07-31 21:40:50,49.18,2025-07-31 21:10:50
253,441,418,mobile,2024-06-04 19:20:42,2024-06-04 20:54:42,85.45,2024-06-04 19:20:42
254,491,226,desktop,2024-10-18 06:21:44,2024-10-18 07:48:44,97.75,2024-10-18 06:21:44
255,292,513,mobile,2025-06-20 17:47:12,2025-06-20 18:53:12,40.99,2025-06-20 17:47:12
256,926,539,tablet,2025-09-16 08:27:48,2025-09-16 08:53:48,21.49,2025-09-16 08:27:48
257,550,206,smart_tv,2024-10-11 04:22:36,2024-10-11 05:56:36,65.73,2024-10-11 04:22:36
258,848,340,mobile,2025-06-18 07:06:08,2025-06-18 08:00:08,37.24,2025-06-18 07:06:08
259,933,307,mobile,2025-05-22 16:37:50,2025-05-22 17:28:50,36.43,2025-05-22 16:37:50
260,446,85,smart_tv,2025-01-03 00:57:16,2025-01-03 02:29:16,86.79,2025-01-03 00:57:16
